370000;502000;90 
375000;505000;91 
380000;508000;92 
385000;511000;93 
390000;514000;94 
395000;517000;95 
400000;520000;96 
405000;523000;97 
410000;526000;98 
415000;529000;99 
421000;532000;100 
422000;535000;101 
425000;538000;102 
420000;541000;103 
425500;544000;104 
421100;547000;105 
375250;502500;90.5
380500;503000;91.2
385750;503500;92.1
391000;504000;93.3
396250;504500;94.7
401500;505000;95.9
406750;505500;96.4
412000;506000;97.8
417250;506500;98.2
422500;507000;99.6
375500;507500;100.1
380750;508000;101.4
386000;508500;102.8
391250;509000;103.3
396500;509500;104.7
401750;510000;105.2
407000;510500;90.8
412250;511000;91.9
417500;511500;92.7
422750;512000;93.6
